,INALT,ROMS,ROMSchild
2009-07-07,77.62451,36.27181,70.08479
2009-07-08,51.94513,36.27181,51.53742
2009-07-09,63.87905,36.27181,70.08479
2009-07-10,63.87905,51.90499,51.53742
2009-07-11,77.62451,51.90499,51.53742
2009-07-12,77.62451,70.584274,70.08479
2009-07-13,77.62451,70.584274,70.08479
2009-07-14,77.62451,70.584274,70.08479
2009-07-15,77.62451,51.90499,70.08479
2009-07-16,77.62451,51.90499,70.08479
2009-07-17,77.62451,51.90499,70.08479
2009-07-18,63.87905,51.90499,70.08479
2009-07-19,63.87905,51.90499,92.08653
2009-07-20,63.87905,70.584274,92.08653
2009-07-21,63.87905,70.584274,92.08653
2009-07-22,77.62451,70.584274,92.08653
2009-07-23,77.62451,70.584274,92.08653
2009-07-24,77.62451,51.90499,92.08653
2009-07-25,77.62451,51.90499,51.53742
2009-07-26,77.62451,51.90499,70.08479
2009-07-27,51.94513,51.90499,70.08479
2009-07-28,41.481853,51.90499,70.08479
2009-07-29,51.94513,51.90499,70.08479
2009-07-30,77.62451,51.90499,70.08479
2009-07-31,77.62451,51.90499,51.53742
2009-08-01,93.594124,51.90499,70.08479
2009-08-02,93.594124,51.90499,70.08479
2009-08-03,93.594124,51.90499,70.08479
2009-08-04,93.594124,51.90499,70.08479
2009-08-05,93.594124,51.90499,70.08479
2009-08-06,93.594124,51.90499,70.08479
2009-08-07,93.594124,51.90499,70.08479
2009-08-08,93.594124,51.90499,70.08479
2009-08-09,93.594124,51.90499,92.08653
2009-08-10,93.594124,51.90499,92.08653
2009-08-11,93.594124,51.90499,92.08653
2009-08-12,93.594124,51.90499,92.08653
2009-08-13,93.594124,51.90499,92.08653
2009-08-14,93.594124,51.90499,92.08653
2009-08-15,93.594124,51.90499,70.08479
2009-08-16,93.594124,51.90499,70.08479
2009-08-17,77.62451,51.90499,70.08479
2009-08-18,77.62451,51.90499,70.08479
2009-08-19,93.594124,51.90499,70.08479
2009-08-20,93.594124,51.90499,70.08479
2009-08-21,93.594124,51.90499,70.08479
2009-08-22,93.594124,51.90499,70.08479
2009-08-23,93.594124,51.90499,70.08479
2009-08-24,93.594124,70.584274,70.08479
2009-08-25,51.94513,51.90499,70.08479
2009-08-26,77.62451,51.90499,70.08479
2009-08-27,77.62451,70.584274,70.08479
2009-08-28,77.62451,51.90499,70.08479
2009-08-29,51.94513,70.584274,70.08479
2009-08-30,32.20929,70.584274,70.08479
2009-08-31,41.481853,70.584274,70.08479
2009-09-01,32.20929,70.584274,70.08479
2009-09-02,41.481853,70.584274,70.08479
2009-09-03,77.62451,70.584274,70.08479
2009-09-04,93.594124,70.584274,70.08479
2009-09-05,93.594124,70.584274,70.08479
2009-09-06,93.594124,70.584274,70.08479
2009-09-07,63.87905,70.584274,70.08479
2009-09-08,93.594124,70.584274,70.08479
2009-09-09,112.283485,51.90499,70.08479
2009-09-10,112.283485,70.584274,70.08479
2009-09-11,112.283485,70.584274,70.08479
2009-09-12,93.594124,70.584274,70.08479
2009-09-13,51.94513,70.584274,70.08479
2009-09-14,23.89871,70.584274,70.08479
2009-09-15,23.89871,70.584274,70.08479
2009-09-16,41.481853,70.584274,70.08479
2009-09-17,77.62451,70.584274,70.08479
2009-09-18,112.283485,70.584274,70.08479
2009-09-19,112.283485,70.584274,70.08479
2009-09-20,93.594124,70.584274,70.08479
2009-09-21,63.87905,70.584274,70.08479
2009-09-22,32.20929,70.584274,70.08479
2009-09-23,23.89871,70.584274,70.08479
2009-09-24,32.20929,70.584274,70.08479
2009-09-25,32.20929,70.584274,70.08479
2009-09-26,32.20929,70.584274,70.08479
2009-09-27,32.20929,70.584274,70.08479
2009-09-28,63.87905,70.584274,70.08479
2009-09-29,77.62451,70.584274,70.08479
2009-09-30,63.87905,70.584274,70.08479
2009-10-01,32.20929,70.584274,70.08479
2009-10-02,32.20929,70.584274,70.08479
2009-10-03,32.20929,70.584274,70.08479
2009-10-04,16.363966,70.584274,70.08479
2009-10-05,16.363966,70.584274,70.08479
2009-10-06,16.363966,70.584274,70.08479
2009-10-07,16.363966,70.584274,70.08479
2009-10-08,23.89871,70.584274,70.08479
2009-10-09,32.20929,70.584274,70.08479
2009-10-10,41.481853,51.90499,70.08479
2009-10-11,51.94513,51.90499,51.53742
2009-10-12,63.87905,51.90499,51.53742
2009-10-13,32.20929,70.584274,51.53742
2009-10-14,23.89871,70.584274,36.0146
2009-10-15,16.363966,70.584274,51.53742
2009-10-16,41.481853,51.90499,51.53742
2009-10-17,63.87905,51.90499,70.08479
2009-10-18,63.87905,51.90499,51.53742
2009-10-19,16.363966,51.90499,51.53742
2009-10-20,16.363966,51.90499,36.0146
2009-10-21,16.363966,51.90499,36.0146
2009-10-22,16.363966,51.90499,36.0146
2009-10-23,16.363966,36.27181,36.0146
2009-10-24,16.363966,36.27181,36.0146
2009-10-25,16.363966,36.27181,36.0146
2009-10-26,23.89871,36.27181,23.10112
2009-10-27,23.89871,36.27181,36.0146
2009-10-28,32.20929,23.26656,23.10112
2009-10-29,32.20929,36.27181,23.10112
2009-10-30,23.89871,23.26656,23.10112
2009-10-31,16.363966,23.26656,23.10112
2009-11-01,23.89871,23.26656,23.10112
2009-11-02,23.89871,23.26656,23.10112
2009-11-03,23.89871,23.26656,23.10112
2009-11-04,23.89871,23.26656,23.10112
2009-11-05,32.20929,23.26656,23.10112
2009-11-06,23.89871,23.26656,23.10112
2009-11-07,16.363966,23.26656,23.10112
2009-11-08,23.89871,23.26656,23.10112
2009-11-09,23.89871,23.26656,23.10112
2009-11-10,23.89871,23.26656,23.10112
2009-11-11,16.363966,23.26656,23.10112
2009-11-12,16.363966,23.26656,23.10112
2009-11-13,16.363966,23.26656,23.10112
2009-11-14,23.89871,23.26656,23.10112
2009-11-15,32.20929,23.26656,23.10112
2009-11-16,23.89871,23.26656,23.10112
2009-11-17,23.89871,23.26656,23.10112
2009-11-18,16.363966,23.26656,23.10112
2009-11-19,16.363966,23.26656,23.10112
2009-11-20,16.363966,23.26656,23.10112
2009-11-21,23.89871,23.26656,23.10112
2009-11-22,23.89871,23.26656,23.10112
2009-11-23,23.89871,23.26656,23.10112
2009-11-24,16.363966,23.26656,23.10112
2009-11-25,23.89871,23.26656,23.10112
2009-11-26,23.89871,23.26656,23.10112
2009-11-27,16.363966,23.26656,23.10112
2009-11-28,16.363966,23.26656,23.10112
2009-11-29,16.363966,23.26656,23.10112
2009-11-30,16.363966,23.26656,23.10112
2009-12-01,16.363966,23.26656,23.10112
2009-12-02,16.363966,23.26656,23.10112
2009-12-03,16.363966,23.26656,23.10112
2009-12-04,16.363966,23.26656,23.10112
2009-12-05,16.363966,23.26656,23.10112
2009-12-06,16.363966,23.26656,23.10112
2009-12-07,16.363966,23.26656,23.10112
2009-12-08,16.363966,23.26656,23.10112
2009-12-09,16.363966,23.26656,23.10112
2009-12-10,16.363966,23.26656,23.10112
2009-12-11,16.363966,23.26656,23.10112
2009-12-12,16.363966,23.26656,23.10112
2009-12-13,16.363966,23.26656,23.10112
2009-12-14,16.363966,23.26656,23.10112
2009-12-15,16.363966,23.26656,23.10112
2009-12-16,16.363966,23.26656,23.10112
2009-12-17,16.363966,23.26656,23.10112
2009-12-18,16.363966,23.26656,23.10112
2009-12-19,16.363966,23.26656,23.10112
2009-12-20,16.363966,23.26656,23.10112
2009-12-21,16.363966,23.26656,23.10112
2009-12-22,16.363966,23.26656,23.10112
2009-12-23,16.363966,23.26656,23.10112
2009-12-24,16.363966,23.26656,23.10112
2009-12-25,16.363966,23.26656,23.10112
2009-12-26,16.363966,23.26656,23.10112
2009-12-27,16.363966,23.26656,23.10112
2009-12-28,23.89871,23.26656,23.10112
2009-12-29,23.89871,23.26656,23.10112
2009-12-30,16.363966,23.26656,23.10112
2009-12-31,16.363966,23.26656,23.10112
